category	text
1	"Efficiency testing tests the amount of resources required by a program to perform a specific function. "
1	"Efficiency can be defined as, using the resources optimally where resources could be memory, CPU, time, files, connections, databases etc. "
1	"we probably able to develop an optimal system in which 90% of the code using just 1% of CPU in peak load, but 10% of code is using 99% of CPU. "
1	"If we worry about the performance only after the system is built then we are in the worst situation, we probably could not reach 90% optimal code level. "
1	"Provides configurable automation of system and business workflow processes. "
1	"Requires data to be entered only once, with no re-keying. "
1	"Has configurable parameter / table facilities. "
1	"Provides easily configurable data import programs. "
1	"Operates quickly and efficiently, with acceptable system performance. "
1	"Enables real time and / or batch processing. "
1	"Supports the number of concurrent system users you require, at peak processing / enquiry times, with no degradation of system performance. "
1	"Supports your chosen operational set up eg whether using SaaS, running a Shared Service Centre, single or multiple sites. "
1	"Has a vendor warranty as to the software specification and performance. "
1	"Runs on industry standard hardware. "
1	"Runs with hardware independent operating system. "
1	"If a query searches multiple fields, create a compound index. Scanning an index is much faster than scanning a collection.  "
1	"Indexes also improve efficiency on queries that routinely sort on a given field. "
1	"MongoDB cursors return results in groups of multiple documents. If you know the number of results you want, you can reduce the demand on network.resources by issuing the limit() method. "
1	"When you need only a subset of fields from documents, you can achieve better performance by returning only the fields you need. "
1	"if you need to handle a large volume of data and store it as documents, MongoDB will help you to meet the challenges. "
1	"A 32 bit application, using a 32 bit version of windows, is pretty RAM efficient. "
1	"A 64 git application on a 64 bit version can be even more inefficient. "
1	"It could be more than double the RAM requirements. "
1	"One of the biggest upgrades you can make to an older computer is being sure it has enough memory (RAM) to handle the operating system and all the programs you want to run on it. "
1	"Tungsten suppresses virtual functions and leverages close to bare metal performance by focusing on jobs CPU and memory efficiency. "
1	"it comes with a tradeoff as map and filter functions perform poorer with this API. "
1	"The goal of tracking and analyzing software metrics is to determine the quality of the current product or process, improve that quality and predict the quality once the software development project is complete. "
1	"Reducing the lines of codes. "
1	"Reducing the number of bugs reported. "
1	"Increasing the number of software iterations. "
1	"Speeding up the completion of tasks. "
1	"Lead time quantifies how long it takes for ideas to be developed and delivered as software. "
1	"Cycle time describes how long it takes to change the software system and implement that change in production. "
1	"Team velocity measures how many software units a team completes in an iteration or sprint.  "
1	"Open/close rates are calculated by tracking production issues reported in a specific time period. "
1	"Production metrics attempt to measure how much work is done and determine the efficiency of software development teams. "
