sentence	provenance
Here are just a few of the things that pandas does well: 	"functionalities"
Easy handling of missing data (represented as NaN) in floating point as well as non-floating point data 	"functionalities"
Size mutability: columns can be inserted and deleted from DataFrame and higher dimensional objects 	"functionalities"
Automatic and explicit data alignment: objects can be explicitly aligned to a set of labels, or the user can simply ignore the labels and let Series, DataFrame, etc. automatically align the data for you in computations 	"functionalities"
Powerful, flexible group by functionality to perform split-apply-combine operations on data sets, for both aggregating and transforming data 	"functionalities"
Make it easy to convert ragged, differently-indexed data in other Python and NumPy data structures into DataFrame objects 	"functionalities"
Intelligent label-based slicing, fancy indexing, and subsetting of large data sets 	"functionalities"
Intuitive merging and joining data sets 	"functionalities"
Flexible reshaping and pivoting of data sets 	"functionalities"
Hierarchical labeling of axes (possible to have multiple labels per tick) 	"functionalities"
Robust IO tools for loading data from flat files (CSV and delimited), Excel files, databases, and saving/loading data from the ultrafast HDF5 format 	"functionalities"
Time series-specific functionality: date range generation and frequency conversion, moving window statistics, moving window linear regressions, date shifting and lagging, etc. 	"functionalities"
Seaborn is a Python visualization library based on matplotlib. It provides a high-level interface for drawing attractive statistical graphics. 	"functionalities"
CaffeOnSpark brings deep learning to Hadoop and Spark clusters. By combining salient features from deep learning framework Caffe and big-data frameworks Apache Spark and Apache Hadoop, CaffeOnSpark enables distributed deep learning on a cluster of GPU and CPU servers. 	"functionalities"
As a distributed extension of Caffe, CaffeOnSpark supports neural network model training, testing, and feature extraction. Caffe users can now perform distributed learning using their existing LMDB data files and minorly adjusted network configuration (as illustrated). 	"functionalities"
CaffeOnSpark is a Spark package for deep learning. It is complementary to non-deep learning libraries MLlib and Spark SQL. CaffeOnSpark's Scala API provides Spark applications with an easy mechanism to invoke deep learning (see sample) over distributed datasets. 	"functionalities"
CaffeOnSpark was developed by Yahoo for large-scale distributed deep learning on our Hadoop clusters in Yahoo's private cloud. It's been in use by Yahoo for image search, content classification and several other use cases. 	"functionalities"
Luigi is a Python (2.7, 3.6, 3.7 tested) package that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization, handling failures, command line integration, and much more. 	"functionalities"
The purpose of Luigi is to address all the plumbing typically associated with long-running batch processes. You want to chain many tasks, automate them, and failures will happen. These tasks can be anything, but are typically long running things like Hadoop jobs, dumping data to/from databases, running machine learning algorithms, or anything else. 	"functionalities"
You can build pretty much any task you want, but Luigi also comes with a toolbox of several common task templates that you use. It includes support for running Python mapreduce jobs in Hadoop, as well as Hive, and Pig, jobs. It also comes with file system abstractions for HDFS, and local files that ensures all file system operations are atomic. This is important because it means your data pipeline will not crash in a state containing partial data. 	"functionalities"
It enables model training, test and feature extraction directly on Hadoop datasets stored in HDFS on Hadoop clusters. 	"functionalities"
It turns your Hadoop or Spark cluster(s) into a powerful platform for deep learning, without the need to set up a new dedicated cluster for deep learning separately. 	"functionalities"
Server-to-server direct communication (Ethernet or InfiniBand) achieves faster learning and eliminates scalability bottleneck. 	"functionalities"
Caffe users' existing datasets (e.g. LMDB) and configurations could be applied for distributed learning without any conversion needed. 	"functionalities"
High-level API empowers Spark applications to easily conduct deep learning. 	"functionalities"
Incremental learning is supported to leverage previously trained models or snapshots. 	"functionalities"
Additional data formats and network interfaces could be easily added. 	"functionalities"
It can be easily deployed on public cloud (ex. AWS EC2) or a private cloud. 	"functionalities"
Provides a system for simulating, comparing, testing, and benchmarking Spark applications and Spark itself. 	"functionalities"
Suites of performance tests for Spark, PySpark, Spark Streaming, and MLlib. 	"functionalities"
Apache Flink is an open source stream processing framework with powerful stream- and batch-processing capabilities. 	"functionalities"
Features 	"functionalities"
A streaming-first runtime that supports both batch processing and data streaming programs 	"functionalities"
Elegant and fluent APIs in Java and Scala 	"functionalities"
A runtime that supports very high throughput and low event latency at the same time 	"functionalities"
Support for event time and out-of-order processing in the DataStream API, based on the Dataflow Model 	"functionalities"
Flexible windowing (time, count, sessions, custom triggers) across different time semantics (event time, processing time) 	"functionalities"
Fault-tolerance with exactly-once processing guarantees 	"functionalities"
Natural back-pressure in streaming programs 	"functionalities"
Libraries for Graph processing (batch), Machine Learning (batch), and Complex Event Processing (streaming) 	"functionalities"
Built-in support for iterative programs (BSP) in the DataSet (batch) API 	"functionalities"
Custom memory management for efficient and robust switching between in-memory and out-of-core data processing algorithms 	"functionalities"
Compatibility layers for Apache Hadoop MapReduce 	"functionalities"
Integration with YARN, HDFS, HBase, and other components of the Apache Hadoop ecosystem 	"functionalities"
We support these features, amongst others: 	"functionalities"
Distributed Closure Execution 	"functionalities"
MapReduce & ForkJoin Processing 	"functionalities"
Continuous Mapping 	"functionalities"
Clustered Executor Service 	"functionalities"
Per-Node Shared State 	"functionalities"
Collocation of Compute and Data 	"functionalities"
Load Balancing 	"functionalities"
Fault Tolerance 	"functionalities"
Job State Checkpointing 	"functionalities"
Job Scheduling 	"functionalities"
CXF includes a broad feature set, but it is primarily focused on the following areas: 	"functionalities"
Web Services Standards Support: CXF supports a variety of web service standards including SOAP, the Basic Profile, WSDL, WS-Addressing, WS-Policy, WS-ReliableMessaging, WS-Security, WS-SecurityPolicy, WS-SecureConversation, and WS-Trust. 	"functionalities"
Frontends: CXF supports a variety of "frontend" programming models. CXF implements the JAX-WS APIs. It also includes a "simple frontend" which allows creation of clients and endpoints without annotations. CXF supports both contract first development with WSDL and code first development starting from Java. There is also a JAX-RS frontend for providing REST support. 	"functionalities"
Ease of use: CXF is designed to be intuitive and easy to use. There are simple APIs to quickly build code-first services, Maven plug-ins to make tooling integration easy, JAX-WS API support, Spring 2.x XML support to make configuration a snap, and much more. 	"functionalities"
