text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
Topological data analysis (TDA) has emerged as one of the most promising techniques to reconstruct the unknown shapes of high-dimensional spaces from observed data samples.	s2_ai	0	0	0	0	0	0	0	0
Extraterrestrial drilling is an important sampling method for understanding the formation of another celestial body and finding traces of life beyond earth.	s2_ai	0	0	0	0	1	0	0	0
The question how to embody these simple models into real robot leg designs still has not been completely answered so far.	s2_ai	0	0	0	0	1	0	0	0
We analyze the iterative optimizations for pose tracking and map refinement of visual SLAM in multi-camera cases.	s2_ai	0	0	0	1	1	0	0	0
For novel objects, we provide an efficient algorithm to generate grasp contacts that match the fingertip geometries while together forming stable grasps.	s2_ai	0	0	0	0	1	0	0	0
In many approaches to artificial tactile perception, this involves extensive sampling of the object during the training phase.	s2_ai	0	0	0	1	0	0	0	0
As HPDL can be used as a description logic for representing and reasoning about terminological knowledge, our procedure is useful for practical applications.	s2_ai	0	0	0	1	1	0	0	0
To resolve one of uncertainty features, randomness, in ontologies, this paper shows how to characterize uncertainty of concepts from a statistical viewpoint.	s2_ai	0	0	0	0	1	0	0	0
This letter presents a new method for picking objects through quasistatic in-hand manipulation with end-effectors that have no degrees of freedom.	s2_ai	0	0	0	1	0	0	0	0
YouTube, with millions of content creators, has become the preferred destination for viewing videos online.	s2_ai	0	0	0	0	0	0	0	0
Online display advertising has becomes a billion-dollar industry, and it keeps growing.	s2_ai	0	0	0	0	0	1	0	0
Recently, online shopping marketplaces usually hold some price promotion campaigns to attract customers and increase their purchase intention.	s2_ai	0	0	0	0	0	1	0	0
Online display advertising has becomes a billion-dollar industry, and it keeps growing.	s2_ai	0	0	0	0	0	1	0	0
The buying processes of the business customers involve series of different marketing campaigns providing multifaceted information about the products or services.	s2_ai	0	0	0	0	0	1	0	0
The model has been developed using an agent-based modeling approach which delivers results based on socio-demographic factors of a population and customers’ relative preferences of product attributes price, environmental friendliness and service-orientation.	s2_ai	0	0	0	1	0	0	0	0
YouTube, with millions of content creators, has become the preferred destination for viewing videos online.	s2_ai	0	0	0	0	0	1	0	0
Our approach is quite general, and can also be applied to the item-item relationship network by switching the roles of users and items.	s2_ai	0	0	0	0	0	0	0	0
We address the novel problem of detecting dynamic regions in CrowdCam images – a set of still images captured by a group of people.	s2_ai	0	0	0	0	1	0	0	0
The aim is to investigate whether the code is actually useful, i.e., can be reused by an interested reader without much effort.	s2_ai	0	0	0	0	1	0	0	0
On the other hand, news editors rely on social media for following their audience’s attention and for crowd-sourcing news stories.	s2_ai	0	0	0	0	0	0	0	0
A functional characterization, where we showed how two users who suffered from spinal cord injuries were able to perform several ADL for the first time since their accidents.	s2_ai	0	0	0	0	0	0	0	0
However, it has been reported in the literature that the head is one of the important features and the removal of the head from static information decreases the recognition rate.	s2_ai	0	0	0	0	0	0	0	0
We address all three issues.	s2_ai	0	0	0	0	0	0	0	0
One recent and important variant is group-based skyline, which aims to find the best groups of points in a given set.	s2_ai	0	0	0	0	1	0	0	0
The  first  IAS conference was held  in 1986 and was the  first conference on  this  topic.	s2_ai	0	0	0	0	0	0	0	0
Every moment counts in action recognition.	s2_ai	0	0	0	0	0	0	0	0
Though many simplified methods have been developed so far, they have not necessarily been applied with success, in particular to large-scale practical problems.	s2_ai	0	0	0	0	0	0	0	0
Using this notion, we identify <italic>uninteresting</italic> items that have not been rated yet but are likely to receive low ratings from users, and selectively impute them as low values.	s2_ai	0	0	0	0	0	0	0	0
2017; Li et al.	s2_ai	0	0	0	0	0	0	0	0
However, in many real-life scenarios, only critical vertices on the shortest path are desirable and it is unnecessary to search for the complete path.	s2_ai	0	0	0	1	0	0	0	0
Furthermore, the partial least-squares method was adopted to analyze the collected data from the students who participated in the test ($n$ = 558).	s2_ai	0	0	0	1	0	0	0	0
