text	provenance	convention	old	new
If you want to contribute to TensorFlow, be sure to review the contribution guidelines. This project adheres to TensorFlow's code of conduct. By participating, you are expected to uphold this code. 	efficiency	civic	1	1
The World's 10 Most Polluted PlacesRemote industrial towns, e-waste processing centers and the site of an infamous nuclear disaster top 2013's worst polluted	HuffPost_News	industrial	1	1
Y a mi, qué? Who Does the Civil Rights Movement Belong To?How can an exhibit in Brooklyn about the civil rights movement not include the history of the Young Lords, and the Puerto Rican political movement and the artists it inspired throughout the '60s and beyond?	HuffPost_News	civic	0	1
Landmark Majuro Declaration Could Determine Our Children's Future (Video)During the Pacific Island Forum, Australia, New Zealand and 13 Heads of State from other Pacific nations made a landmark declaration -- calling for the full phase-out of greenhouse gas pollution, acknowledging that current efforts to tackle climate change are insufficient.	HuffPost_News	green	1	1
Ecover, Come Clean About Using Extreme Genetic Engineering in Your ProductsFollowing in the footsteps of the chemical industry, the synthetic-biology industry is rushing its untested products to market before there is any regulation, oversight or even scientific understanding of the impacts this technology could have on ecosystems and human health.	HuffPost_News	green	1	1
Earth Day: How to Spin Toward a Healthier, Greener PlanetEach one of us has an important role to play in protecting planet Earth and safeguarding human health. Collaboration is urgently needed across governments, NGOs, businesses, communities, and individuals to ensure a healthier planet and a greener, cleaner world.	HuffPost_News	green	1	1
Captivating Wayanad, A Spicy Forest Hideaway In North KeralaWhile Kerala is renowned for its backwaters and the houseboats that cruise them, the terrain of its mountainous Western Ghats on the southern tip of the Deccan Plateau is spectacular too. Tangled jungle, intimate valleys and exposed ridges are interspersed with plantations and palm trees, and of course give shelter to a wide variety of animals.	HuffPost_News	green	1	1
Germany Adopts the World's Best Minimum WageIf Merkel and her Christian Democratic party can help lead this effort in Germany, and with real results, what accounts for the 19th century U.S. framework of free markets, free trade, elimination of collective bargaining, and the destruction of economic opportunity for all but a few Americans?	HuffPost_News	market	0	1
May Day Festivals of Flirtation, Fertility, and Sexual FrenzyThis May Day, let us pay tribute to the Earth Mother and Her daughter goddesses of green growth by planting May trees and flowers and then dancing around them to celebrate the lovely, lusty miracle of life.	HuffPost_News	green	1	1
What the Netherlands Can Teach Us About Riding Bikes, Sustainable Development & Green EconomyBiking in Amsterdam for a weekend can open your eyes and mind to re-think of renewable sources of energy, an economic sustained growth, and a green and less polluted environment.	HuffPost_News	green	1	1
After Climate Agreement Makes History, the Real Work BeginsAfter two weeks of intense debate and little sleep for delegates from 196 countries, French Foreign Minister Laurent Fabius banged the ceremonial green gavel Saturday evening, adopting the ambitious document put forth by the United Nations' committee earlier in the day.	HuffPost_News	green	1	1
Linking Domestic Violence and Chronic Disease: An Issue Not in the HeadlinesPhysical or sexual abuse, verbal abuse, nonverbal intimidation, financial exploitation and neglect can end up, directly or indirectly, causing a chronic disease.  Addressing the full implications of domestic violence may prevent or lower that risk, ultimately saving money, time and, most importantly, lives.	HuffPost_News	civic	0	1
As EPA Launches War on Emissions, U.S. Plays Catch Up With Europe on RenewablesThe United States is behind the curve when it comes to the percentage of renewable energy resources on its national grid. And with domestic oil and natural gas production increasing, low-carbon solutions may fall even further by the wayside.	HuffPost_News	green	1	1
Women in Business Q&A: Elizabeth Scherle, Co-Founder & President, InfluensterElizabeth Scherle is the Co-Founder and President of Influenster, the free and unique digital community of consumers shaping the lifestyle marketplace through user-generated, expert social opinion and content.	HuffPost_News	market	0	1
Greenpeace Helping Expose Illegal, Unethical Fishing off West AfricaForeign vessels have been plundering the waters of West Africa for decades to stock the fish markets of Europe and Asia. Industrial fishing is depriving West African people of a vital source of protein and pushing thousands of locals into poverty and despair.	HuffPost_News	green	1	1
Where Are The Brave Ones?Government cutbacks are also the main reason for our soaring inequality and social immobility, as domestic austerity policies have endangered the social safety net while conservative state governments inhibit collective bargaining, voters' and women's rights.	HuffPost_News	civic	0	1
While automated vehicle technology progresses, potentially leading to a safer and more efficient traffic environment, many challenges remain within the area of human factors, such as user trust for automated driving (AD) vehicle systems.	Semantic Scholar	green	1	1
The ability to accurately predict changes of the carbon and energy balance on a regional scale is of great importance for assessing the effect of land use changes on carbon sequestration under future climate conditions.	Semantic Scholar	green	1	1
