text	provenance	convention	old	new
Cycle time describes how long it takes to change the software system and implement that change in production. 	efficiency	industrial	0	1
A simple Python program may not cause many problems when it comes to memory, but memory utilization becomes critical on high memory consuming projects. 	efficiency	industrial	0	1
Response time is the time it takes from when a user inputs data into the application until the application outputs a response to that input. 	efficiency	industrial	0	1
Whether for desktop, mobile, or web apps, in this course you'll see how to identify pain points and measure them accurately, as well as view multiple approaches to improve the performance.  	efficiency	industrial	0	1
Big Data (feed it lots of data- it's fairly efficient with resources). 	efficiency	industrial	0	1
Memory pages/second - number of pages written to or read from the disk in order to resolve hard page faults. Hard page faults are when code not from the current working set is called up from elsewhere and retrieved from a disk. 	efficiency	industrial	0	1
Use resources efficiently and lower costs. 	efficiency	industrial	0	1
A ptracing profiler For Python. 	efficiency	green	1	0
"Author Simon Allardice covers everything from ""quick fixes"" to more complex (but more accurate) algorithms. "	efficiency	renown	0	1
It can cluster millions of instances efficiently. 	efficiency	industrial	0	1
Highly performant network utilization. 	efficiency	industrial	0	1
But the timeline of innovation, particularly in open source projects, is also clear and we want our users to understand the direction of flow of innovation in our space. 	efficiency	inspired	0	1
If system is not efficient then it can not be used in real time applications. 	efficiency	industrial	0	1
📖 Make the Web Faster | Google Developers. 	efficiency	industrial	0	1
System load: 0.39 ,Memory usage: 2%, Processes: 80. 	efficiency	green	1	0
Compositional, streaming I/O library for Scala. 	efficiency	industrial	0	1
Hardware Monitor can tell you quite a bit about CPU and GPU usage, its a small download and a small footprint in terms of system resources. 	efficiency	industrial	0	1
Furthermore, the development of computational power ensures that inefficiency software can be as functional as efficient software with a just price of higher (but not full) CPU load. Nevertheless, neglecting software efficiency will not become an issue, because it is compensated by the still increasing hardware performance as long as the semiconductor industry does not reach its bottleneck.  	efficiency	industrial	0	1
Improve performance of the digital sinusoidal generator in memory usage optimization. 	efficiency	industrial	0	1
In software engineering, a bottleneck occurs when the capacity of an application or a computer system is severely limited by a single component, like the neck of a bottle slowing down the overall water flow.  	efficiency	industrial	0	1
BCC is a toolkit for creating efficient kernel tracing and manipulation programs, and includes several useful tools and examples. 	efficiency	industrial	0	1
Indexes are used to quickly locate data without having to search every row in a database table every time a database table is accessed.  	efficiency	industrial	0	1
